Code,Parties,Jurisdiction,Type,Commodity,Status,Application date,Grant date,Expiry date,Number of licence renewals,Mining area,Application number,Comments,Map_Refe,guidSHectarep,guidLice,PartName
TN2512,MEDICARE HEALTH PROFESSIONALS COLLEGE LIMITED (100%),Uganda,Exploration licence,"Base Metals, Gold, Iron Ore",Application,03-Jul-17,,,,81.7860 square kilometer,TN2512,,"Western Region, Kabale",1998af7d-74f9-425a-a042-dc3ea6abfdbf,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1580,MEDICARE HEALTH PROFESSIONALS COLLEGE LIMITED (100%),Uganda,Exploration licence,"Base Metals, Gold",Active,24-Dec-15,13-Jul-16,07-Dec-19,0,18.4870 square kilometer,TN2305,,"Western Region, Kanungu",518c7d2a-e568-482a-919f-a65f7a227390,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1623,MEDICARE HEALTH PROFESSIONALS COLLEGE LIMITED (100%),Uganda,Exploration licence,"Base Metals, Gold",Active,24-Nov-15,12-Sep-16,12-Aug-19,0,44.8910 square kilometer,TN2280,,"Western Region, Kanungu",d1267da9-d6c9-4091-aa05-0fd98e3c3433,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1810,MEM TRADING (PTY) LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Active,14-Mar-17,09-Nov-18,09-Oct-21,0,34.1406 square kilometer,TN2515,,"Western Region, Ibanda, Kamwenge",d7e25901-09e4-4099-82cd-39da826fd8f4,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2824,MESSO FARMERS LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Application,17-May-18,,,,44.5000 square kilometer,TN2824,,"Western Region, Ntungamo, Rukungiri",0cac875b-e5eb-4cd7-ae81-beb88af19c8c,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2508,MESSO FARMERS LIMITED,Uganda,Location license,Gold,Application,21-Feb-17,,,,0.1500 Hectare,TN2508,,"Western Region, Rukungiri",df0eaa4a-6611-4c94-87c4-a6b141524df7,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2869,METRO CEMENT LIMITED,Uganda,Mining lease,Pozzolana,Application,17-Jul-18,,,,8.1228 Hectare,TN2869,,"Eastern Region, Bulambuli, Kapchorwa",ca9074e6-95e1-400b-9efb-260e741af885,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
EL1727,MHK GENERAL AGENCIES MITED,Uganda,Exploration licence,"Base Metals, Gold, Granite",Active,11-Jun-17,22-Feb-18,21-Feb-21,0,2.0852 square kilometer,TN2663,,"Central Region, Mukono",27dbe4a8-5c67-48e8-af1c-f869f7052bc6,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
LL1786,MICHAEL OGWAL,Uganda,Location license,Kaolin,Active,29-Jan-18,31-Jul-18,30-Jul-20,0,0.1600 square kilometer,TN2713,,"Central Region, Wakiso",7a47230e-6401-4532-98cb-b20d9368add9,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
LL1789,MICHAEL OGWAL,Uganda,Location license,Kaolin,Active,15-May-18,14-Aug-18,13-Aug-20,0,0.1600 square kilometer,TN2819,,"Central Region, Mubende",45ba57f7-ba7c-4b56-8aa0-320c3ee90c7a,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
EL1036,MILU (U) LIMITED (100%),Uganda,Exploration licence,"Base Metals, EL/ML - Precious Metals",Active,23-Apr-12,15-Aug-12,14-Aug-19,2,31.0200 square kilometer,TN1346,,"Eastern Region, Bugiri, Namayingo",e41415cc-59d7-4fd4-9537-f4ae997d99e5,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
