Code,Parties,Jurisdiction,Type,Commodity,Status,Application date,Grant date,Expiry date,Number of licence renewals,Mining area,Application number,Comments,Map_Refe,guidSHectarep,guidLice,PartName
TN2941,GREAT SOLOMON MINING COMPANY LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Application,24-Sep-18,,,,9.9975 square kilometer,TN2941,,"Central Region, Mubende",3db3e6a2-36ac-4c9e-b117-5be1c9109531,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
ML4128,GREENSTONE RESOURCES LIMITED (100%),Uganda,Mining lease,Gold,Active,,12-Dec-94,12-Nov-30,1,0.5610 square kilometer,,,"Eastern Region, Busia",16dfcc84-d3c1-484b-a0a1-9e76900b9408,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
TN2856,GUANGZHOU DONG SONG ENERGY GROUP CO. (U) LIMITED,Uganda,Exploration licence,"Base Metals, Coltan, Platinum Group Metals, Tin",Application,26-Jun-18,,,,12.2000 square kilometer,TN2856,,"Western Region, Ntungamo",38de4de6-107c-4184-818b-07387ca95812,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2858,GUANGZHOU DONG SONG ENERGY GROUP CO. (U) LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Platinum Group Metals, Tin",Application,26-Jun-18,,,,57.5000 square kilometer,TN2858,,"Western Region, Kabale, Ntungamo",5889b231-7c6f-413a-bf05-84b1ec94fb84,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2709,GUANGZHOU DONG SONG ENERGY GROUP CO. (U) LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Application,17-Jan-18,,,,65.4071 square kilometer,TN2709,,"Eastern Region, Busia, Tororo",df2387e5-6a15-4ba2-8e66-aef492ddfe61,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1711,GUANGZHOU DONG SONG ENERGY GROUP CO. (U) LIMITED,Uganda,Exploration licence,Silica/Glass Sand,Active,12-Jul-17,01-Dec-18,01-Nov-21,0,10.6250 square kilometer,TN2685,,"Eastern Region, Namayingo",0ebf1f0e-6230-4ed0-b6db-7fb2080d1a69,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1712,GUANGZHOU DONG SONG ENERGY GROUP CO. (U) LIMITED,Uganda,Exploration licence,Potash,Active,12-Jul-17,01-Dec-18,01-Nov-21,0,63.8400 square kilometer,TN2684,,"Eastern Region, Bugiri, Butaleja, Namutumba",e38041bf-ed91-4db9-aa4a-1f7c644edef0,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2930,GUANGZHOU DONG SONG ENERGY GROUP CO. (U) LIMITED,Uganda,Exploration licence,"Base Metals, Iron Ore, PhospHectaretes, Rare Earth Elements, Vermiculite",Application,13-Sep-16,,,,9.1200 square kilometer,TN2930,,"Eastern Region, Manafwa",7ab3ee01-cafe-4eda-851a-0ecf54bbce7d,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
RL1582,GUANGZHOU DONG SONG ENERGY GROUP CO. (U) LIMITED,Uganda,Retention licence,"Base Metals, Industrial Minerals, Rare Earth Elements",Active,20-May-16,18-Jul-16,17-Jul-19,0,25.3452 square kilometer,TN2379,"Date reviewed: 16/11/2016
User reviewed: Morris 
Status: up-to-date
Comments:","Eastern Region, Tororo",9f10ad29-7bac-4682-99ee-ce0d34fd5927,6a43f54f-8d7d-4f70-9ca4-84e5bf2a0937,Part 1
RL1582,GUANGZHOU DONG SONG ENERGY GROUP CO. (U) LIMITED,Uganda,Retention licence,"Base Metals, Industrial Minerals, Rare Earth Elements",Active,20-May-16,18-Jul-16,17-Jul-19,0,25.3452 square kilometer,TN2379,"Date reviewed: 16/11/2016
User reviewed: Morris 
Status: up-to-date
Comments:","Eastern Region, Tororo",9f10ad29-7bac-4682-99ee-ce0d34fd5927,6a43f54f-8d7d-4f70-9ca4-84e5bf2a0937,Part 2
ML1393,GUANGZHOU DONG SONG ENERGY GROUP CO. (U) LIMITED  (100%),Uganda,Mining lease,"Base Metals, Iron Ore, Niobium, Phosphates, Rare Earth Elements",Active,09-Sep-14,29-Oct-14,28-Oct-35,0,1.1220 square kilometer,TN2029,,"Eastern Region, Tororo",b24276dc-65b7-4aa0-9f1f-5dbd0ba46949,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 2
TN2764,GWALIWA REBEKAH,Uganda,Location license,Marble,Application,28-Mar-18,,,,0.1500 square kilometer,TN2764,,"Northern Region, Moroto",47426bc4-79dd-4e0b-8aa4-f43508fbc152,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2765,GWALIWA REBEKAH,Uganda,Location license,Marble,Application,28-Mar-18,,,,0.1500 square kilometer,TN2765,,"Northern Region, Moroto",11726360-d5d5-4c4a-bb2d-bfd780dcc394,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2939,GWALIWA REBEKAH,Uganda,Exploration licence,"Base Metals, Gold",Application,24-Sep-18,,,,19.7161 square kilometer,TN2939,,"Central Region, Mityana",25c49a57-54fe-4c65-8df3-c0bf0f3f1ebf,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2100,HABYARIMANA JOSEPH (100%),Uganda,Exploration licence,Wolfram,Application,12-Sep-14,,,,27.3315 square kilometer,TN2100,,"Central Region, Lyantonde, Ssembabule",769721cb-c769-462f-8fe8-3e622dd6f157,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2576,HAJJI BIG ENTERPRISES,Uganda,Exploration licence,"Base Metals, Gold",Application,26-Jun-17,,,,47.2500 square kilometer,TN2576,,"Western Region, Kanungu",b1a37687-3e06-4ead-9725-54b583b08c01,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2983,HAMC MINERALS UGANDA -SMC- LIMITED,Uganda,Exploration licence,"Copper, Niobium, Phosphates, Rare Earth Elements, Vermiculite",Application,23-Nov-18,,,,30.8335 square kilometer,TN2983,,"Eastern Region, Manafwa",ebf2d205-6a33-4799-a546-b264aad0e9c1,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1788,HEYDAY INTERNATIONAL GROUP  COMPANY LIMITED,Uganda,Exploration licence,"Base Metals, Berrylium, Gold",Active,30-Apr-18,14-Aug-18,13-Aug-21,0,166.8169 square kilometer,TN2802,,"Western Region, Buhweju, Bushenyi",ead95a12-6b2e-4e57-8221-896833cfba48,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 2
EL1795,HEYDAY INTERNATIONAL GROUP  COMPANY LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Active,30-Apr-18,24-Aug-18,23-Aug-21,0,55.5540 square kilometer,TN2801,Received in the future date instead of 30/04/2018.,"Western Region, Buhweju, Mbarara, Sheema",589c5cdf-00b8-48c5-9dfe-5f6dfa25f46d,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1796,HEYDAY INTERNATIONAL GROUP  COMPANY LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Iron Ore",Active,30-Apr-18,24-Aug-18,23-Aug-21,0,51.1573 square kilometer,TN2803,,"Western Region, Kisoro",bcc63ba5-5ced-4ddd-90cd-85854032793d,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2985,HEYDAY INTERNATIONAL GROUP  COMPANY LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Marble",Application,27-Nov-18,,,,74.0712 square kilometer,TN2985,,"Northern Region, Moroto",d4927881-df95-43fe-ba1e-9baeb8f2c735,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1834,HEYDAY INTERNATIONAL GROUP  COMPANY LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Active,09-Oct-18,10-Aug-18,10-Jul-21,0,49.8401 square kilometer,TN2927,,"Northern Region, Abim",084ed59c-efd3-4851-9bc3-4b0d8c59de24,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1820,HEYDAY INTERNATIONAL GROUP  COMPANY LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Active,20-Aug-18,14-Sep-18,13-Sep-21,0,440.0000 square kilometer,TN2900,,"Northern Region, Kaabong",fd2b4a11-1d91-476e-bf83-6075ed93c6d8,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1835,HEYDAY INTERNATIONAL GROUP  COMPANY LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Active,20-Aug-18,10-Aug-18,10-Jul-21,0,295.0000 square kilometer,TN2899,,"Northern Region, Kaabong",46719cd6-f84f-4937-a5bd-56f1f83d2483,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2810,HEYDAY INTERNATIONAL GROUP  COMPANY LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Marble",Application,05-Jul-18,,,,220.0841 square kilometer,TN2810,,"Northern Region, Kaabong",6570db5c-4343-4612-baea-7954d21c2bf5,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2847,HEYDAY INTERNATIONAL GROUP  COMPANY LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Application,06-May-18,,,,74.0434 square kilometer,TN2847,,"Western Region, Buhweju, Ibanda",c3a8557b-7aa9-4a20-be3a-baeb178226de,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2848,HEYDAY INTERNATIONAL GROUP  COMPANY LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Application,06-May-18,,,,95.0352 square kilometer,TN2848,,"Western Region, Buhweju, Rubirizi",c7d8dc78-eff8-4e48-a63a-6f7c7ad290e9,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2362,HICAR MINING COMPANY LIMITED (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,28-Apr-16,,,,11.1352 square kilometer,TN2362,,"Eastern Region, Mayuge",ca55f5f6-662c-4aef-835d-8f41e47d4975,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2309,HICAR MINING COMPANY LIMITED (100%),Uganda,Location license,Limestone ,Application,01-May-16,,,,0.0798 square kilometer,TN2309,,"Western Region, Kasese",3c86ec44-f87d-4ec8-ac89-c0a57055928e,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2960,HILLMARKS LIMITED,Uganda,Exploration licence,Pozzolana,Application,30-Oct-18,,,,16.1327 square kilometer,TN2960,,"Western Region, Kabarole",c3c0b587-beb4-4334-ac3b-47b5251affc1,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2961,HILLMARKS LIMITED,Uganda,Exploration licence,Pozzolana,Application,30-Oct-18,,,,5.8000 square kilometer,TN2961,,"Western Region, Kabarole",6a934d74-aaad-4ceb-b11b-76bd6feb5dc4,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2962,HILLMARKS LIMITED,Uganda,Location license,Pozzolana,Application,30-Oct-18,,,,0.1600 square kilometer,TN2962,,"Western Region, Kabarole",2d20971b-2e85-4a82-8e20-981ef59bd646,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
LL1763,HILLS RESOURCES LIMITED,Uganda,Location license,Tin,Active,13-Apr-18,25-May-18,24-May-20,0,0.1598 square kilometer,TN2775,,"Western Region, Ntungamo",41c42bb4-b7a7-459f-9c38-52cd1fbd4ec5,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
ML1744,HIMA CEMENT  LIMITED,Uganda,Mining lease,Pozzolana,Active,29-Jan-18,20-Apr-18,19-Apr-39,0,37.7286 Hectare,TN2715,,"Eastern Region, Kapchorwa",916b078d-9a58-426a-ab11-33547958a3e5,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
EL1657,HIMA CEMENT  LIMITED,Uganda,Exploration licence,Dimension Stone,Active,26-Jul-16,06-Dec-17,06-Nov-20,0,3.6626 square kilometer,TN2412,,"Eastern Region, Mbale",70f5bd58-aede-41d3-a072-5148ab0ec534,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1658,HIMA CEMENT  LIMITED,Uganda,Exploration licence,Limestone ,Active,14-Nov-16,06-Dec-17,06-Nov-20,0,22.2214 square kilometer,TN2476,,"Western Region, Kisoro",1531405e-cc82-4824-98b8-f21f14546f8a,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 2
ML1816,HIMA CEMENT  LIMITED (100%),Uganda,Mining lease,Pozzolana,Active,27-Apr-16,09-Oct-18,09-Sep-39,0,31.9763 Hectare,TN2361,,"Western Region, Kabarole",5f8be0a0-54db-4f73-90c7-d77befd6dd36,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
TN2360,HIMA CEMENT  LIMITED (100%),Uganda,Mining lease,Pozzolana,Application,27-Apr-16,,,,318.0442 Hectare,TN2360,,"Western Region, Kabarole",81c306a4-03de-41d9-bd10-38bb786fbc84,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
EL1585,HIMA CEMENT  LIMITED (100%),Uganda,Exploration licence,Dimension Stone,Active,03-Oct-16,08-Sep-16,08-Aug-19,0,1.5612 square kilometer,TN2345,,"Eastern Region, Tororo",7da03e5a-bcce-483a-a894-40870aea0f52,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1545,HIMA CEMENT  LIMITED (100%),Uganda,Exploration licence,"Dimension Stone, Granite",Active,09-Oct-15,15-Dec-15,14-Dec-18,0,19.9500 square kilometer,TN2256,,"Central Region, Wakiso",052c23fe-9a38-4299-9784-cf253f3eb95b,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1546,HIMA CEMENT  LIMITED (100%),Uganda,Exploration licence,"Dimension Stone, Granite",Active,09-Oct-15,15-Dec-15,14-Dec-18,0,19.1580 square kilometer,TN2257,,"Western Region, Hoima",b9ddd6af-4782-410f-a853-5ecd445201b9,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1372,HIMA CEMENT  LIMITED (100%),Uganda,Exploration licence,Pozzolana,Active,04-Apr-14,16-Sep-14,15-Sep-17,0,0.8000 square kilometer,TN1943,,"Western Region, Kabarole",0e9cae9e-b3a0-44f4-96df-d7ef54682808,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
ML1110,HIMA CEMENT  LIMITED (100%),Uganda,Mining lease,Limestone,Active,09-Apr-12,13-Mar-13,03-Dec-34,,4.1221 square kilometer,TN1490,,"Western Region, Kasese",31d878c4-b275-4f1b-ab3b-f0421fe4dce0,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
ML0248,HIMA CEMENT  LIMITED (100%),Uganda,Mining lease,Limestone,Active,,10-Feb-07,10-Jan-28,0,536.3932 Hectare,,,"Western Region, Kamwenge",a88e5566-ccff-441d-998b-491c8a701535,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
ML0706,HIMA CEMENT  LIMITED (100%),Uganda,Mining lease,Limestone,Active,,12-Jan-10,30-Nov-31,0,0.5411 square kilometer,,,"Western Region, Kasese",d5764173-eae1-423b-901a-035cc7b9a15f,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
EL1873,HOIMA MINERALS COMPANY LIMITED,Uganda,Exploration licence,"Copper, Gold",Active,08-Jul-17,12-Oct-18,12-Sep-21,0,10.0000 square kilometer,TN2613,,"Western Region, Hoima",ed895587-103d-4f15-91c3-f77f96b5f6a4,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL 1870,HPA MUTONO MINING UGANDA LIMITED,Uganda,Exploration licence,Gold,Active,29-Jan-18,12-Mar-18,12-Feb-21,0,220.2015 square kilometer,TN2714,,"Northern Region, Kaabong",d90ad7da-e6f3-42c2-a7a0-cdff480bb8bb,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2992,HUA HUI INTERNATIONAL GROUP COMPANY LIMITED,Uganda,Exploration licence,Kaolin,Application,12-May-18,,,,157.7406 square kilometer,TN2992,,"Central Region, Mubende",bff76c19-2416-4a20-91f8-1360430cd805,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2864,HUA TENG MINING INVESTMENTS LIMITED,Uganda,Exploration licence,Granite,Application,29-Jun-18,,,,9.0000 square kilometer,TN2864,,"Central Region, Wakiso",d270ab85-8bf6-4225-9460-3513c735ae5b,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1790,HUA TENG MINING INVESTMENTS LIMITED,Uganda,Exploration licence,"Lithium, Mica, Tantalite",Active,26-Jun-18,14-Aug-18,13-Aug-21,0,56.2500 square kilometer,TN2862,,"Central Region, Luwero",77aa9a13-42db-41af-ac75-0ecb453f0cd4,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1792,HUA TENG MINING INVESTMENTS LIMITED,Uganda,Exploration licence,"Gold, Granite, Tungsten",Active,26-Jun-18,14-Aug-18,13-Aug-21,0,44.1953 square kilometer,TN2861,,"Central Region, Kiboga, Mityana",2d99f502-8d50-4aaa-a982-5f66291af65a,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1838,HUA TENG MINING INVESTMENTS LIMITED,Uganda,Exploration licence,Lithium,Active,26-Jun-18,10-Oct-18,10-Sep-21,0,20.7500 square kilometer,TN2863,,"Central Region, Mukono",5e91ba97-0103-4131-bdcd-43d3ff088b87,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1818,HUA TENG MINING INVESTMENTS LIMITED,Uganda,Exploration licence,"Gold, Granite, Manganese",Active,18-Jul-18,19-Sep-18,18-Sep-21,0,271.2000 square kilometer,TN2873,,"Northern Region, Abim",9849e5c5-bd8b-4d7c-ae33-8f8b861f98f4,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2872,HUA TENG MINING INVESTMENTS LIMITED,Uganda,Exploration licence,Granite,Application,18-Jul-18,,,,2.0000 square kilometer,TN2872,,"Northern Region, Alebtong",8e43cc81-6e77-421a-aa8c-4e8e13d7cc87,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2874,HUA TENG MINING INVESTMENTS LIMITED,Uganda,Exploration licence,Granite,Application,18-Jul-18,,,,3.3750 square kilometer,TN2874,,"Northern Region, Lira",6afb11ae-6121-4f07-87b1-dd67a2c8caf9,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1836,HUA TENG MINING INVESTMENTS LIMITED,Uganda,Exploration licence,Granite,Active,07-May-18,10-Oct-18,10-Sep-21,0,6.2500 square kilometer,TN2866,,"Central Region, Nakasongola",f6712903-b27b-45bd-b153-21ff8c3793f5,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1837,HUA TENG MINING INVESTMENTS LIMITED,Uganda,Exploration licence,"Columbite, Gold, Tungsten, Wolfram",Active,09-Mar-18,10-Oct-18,10-Sep-21,0,56.0000 square kilometer,TN2914,,"Central Region, Butambala, Mityana",47dcc53f-f1dd-4918-8ca5-0dea5194b1b0,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1626,HUBEI JIU ZHOU GEOLOGICAL EXPLORATION CO. LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Active,27-Oct-16,12-Aug-16,12-Jul-19,0,88.6463 square kilometer,TN2465,,"Western Region, Buhweju",44add5ed-ae8f-489f-9624-a87ba6b36b7e,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2578,HUMMERSTON MINERALS LIMITED,Uganda,Location license,Wolfram,Application,27-Jun-17,,,,0.1290 square kilometer,TN2578,,"Central Region, Lyantonde",f3f2d3c4-c5b1-4c81-a5ae-5cb3f05881ba,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
EL1708,HUMMERSTON MINERALS LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Iron Ore",Active,02-Sep-17,31-Jan-18,30-Jan-21,0,56.2386 square kilometer,TN2505,,"Western Region, Kisoro",a601ff2c-6862-4540-a828-0820f6169c90,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2823,HUNTER WORKS LIMITED,Uganda,Exploration licence,"Limestone , Marble",Application,17-May-18,,,,1.0400 square kilometer,TN2823,,"Northern Region, Moroto",8b112cc5-c99f-40ee-91ce-1a85f1aa2ae7,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2778,HUNTER WORKS LIMITED,Uganda,Exploration licence,Gold,Application,19-Apr-18,,,,272.0000 square kilometer,TN2778,,"Northern Region, Kaabong",a1cc03a5-8af5-4bf7-b08e-1adc2640c12f,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2865,HUNTER WORKS LIMITED,Uganda,Exploration licence,"Base Metals, Cobalt, Uranium",Application,07-Apr-18,,,,99.0368 square kilometer,TN2865,,"Western Region, Kabarole",a3383c13-8d72-410b-9f32-255bba6e3cb7,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2092,INDUSTRIAL MINERALS LIMITED (100%),Uganda,Location license,Pozzolana,Application,25-Nov-14,,,,0.0875 square kilometer,TN2092,"Date reviewed: 02/04/2015
User reviewed: Morris 
Status: up-to-date
Comments:","Western Region, Rubirizi",7370802c-256c-4b68-a7ce-996867d7428e,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
EL1832,INTERNATIONAL ENERGY GROUP AGENCIES,Uganda,Exploration licence,"Gold, Industrial Minerals",Active,27-Aug-18,10-Aug-18,10-Jul-21,0,20.9192 square kilometer,TN2906,,"Eastern Region, Mayuge",503b27ac-c64c-4e4d-ac0f-5d42d060aafb,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1814,INTREPID MINERALS LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Active,27-Mar-18,09-Jul-18,09-Jun-21,0,44.8834 square kilometer,TN2762,,"Western Region, Kanungu",e8740feb-05fa-4fee-a412-f37064c4dcca,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2626,INTREPID MINERALS LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Granite, Silica/Glass Sand",Application,15-Aug-17,,,,102.0000 square kilometer,TN2626,,"Eastern Region, Bugiri, Namutumba",0b55def5-44fd-4adf-9f85-2dc38a9ec626,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1667,INTREPID MINERALS LIMITED,Uganda,Exploration licence,"Berrylium, Cassiterite, Columbite, Tantalite",Active,07-Apr-17,25-Aug-17,24-Aug-20,0,108.1500 square kilometer,TN2582,,"Western Region, Ntungamo",4ff412c8-3af3-484a-9502-32361d917ec0,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1684,INTREPID MINERALS LIMITED,Uganda,Exploration licence,"Berrylium, Cassiterite, Columbite, Gold, Tantalite",Active,07-Apr-17,18-Oct-17,17-Oct-20,0,24.0000 square kilometer,TN2583,,"Western Region, Kanungu",4fc62597-b962-44b4-b8cd-f8734aeba4b6,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1665,INTREPID MINERALS LIMITED (100%),Uganda,Exploration licence,"Base Metals, Gold",Active,07-Jan-15,25-Aug-17,24-Aug-20,0,207.9000 square kilometer,TN2216,,"Central Region, Kiboga, Mubende",f03d5119-eb7b-4c99-bf5c-93db61209bbd,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
LL1602,IONIC BUILDERS LIMITED,Uganda,Location license,Granite,Active,06-Jun-16,21-Oct-16,20-Oct-20,1,0.1348 square kilometer,TN2383,,"Eastern Region, Bukedea",caeeb3e6-da94-44e4-8dcc-d19f462c26d9,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
LL1821,ISA KAKONGE,Uganda,Location license,Gold,Active,05-Sep-18,14-Sep-18,13-Sep-20,0,0.1500 square kilometer,TN2813,,"Central Region, Mubende",17d4da6c-3b45-454a-b363-36ce1d221e99,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2593,ISA KAKONGE,Uganda,Location license,Gold,Application,19-Jul-17,,,,0.1500 square kilometer,TN2593,,"Western Region, Kibaale",db4c6536-5eaf-4256-9bd8-5d5395df189e,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2724,ITIMO EGATU UGANDA LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Limestone , Marble",Application,02-Sep-18,,,,36.9000 square kilometer,TN2724,,"Northern Region, Moroto",7d2782ce-d5c8-4c68-913e-644c0b15eb75,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2742,ITIMO EGATU UGANDA LIMITED,Uganda,Exploration licence,"Limestone , Marble",Application,03-Jul-18,,,,22.3560 square kilometer,TN2742,,"Northern Region, Moroto",1bada241-534a-43f4-a96b-acda7d87a821,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2728,ITIMO EGATU UGANDA LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Limestone , Marble",Application,19-Feb-18,,,,80.0000 square kilometer,TN2728,,"Northern Region, Kotido",e63ecfe8-1c60-4166-b3bc-c3d0c535b482,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2359,JAI AMBE MINING AND MINERAL COMPANY LTD (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,22-Apr-16,,,,104.3000 square kilometer,TN2359,,"Western Region, Ibanda, Kamwenge, Rubirizi",a1455533-cb64-4559-b710-def0ab5a267e,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2294,JAI AMBE MINING AND MINERAL COMPANY LTD (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,15-Dec-15,,,,100.0000 square kilometer,TN2294,,"Northern Region, Kaabong",89f0e548-a138-445f-b006-70c69c8ba29c,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2295,JAI AMBE MINING AND MINERAL COMPANY LTD (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,15-Dec-15,,,,100.0000 square kilometer,TN2295,,"Northern Region, Kaabong, Kotido",1c449871-f478-49f5-bb20-e6592fdf2ac2,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2296,JAI AMBE MINING AND MINERAL COMPANY LTD (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,15-Dec-15,,,,100.0000 square kilometer,TN2296,,"Northern Region, Kaabong, Kotido",e9d1da99-5b8e-49ed-9653-30b3d2c9bb3f,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2297,JAI AMBE MINING AND MINERAL COMPANY LTD (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,15-Dec-15,,,,100.0000 square kilometer,TN2297,,"Northern Region, Kaabong",985eb594-e19b-4d06-89d6-1ad71ae03108,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1552,JAI AMBE MINING AND MINERAL COMPANY LTD (100%),Uganda,Exploration licence,"Base Metals, Gold",Active,20-Nov-15,25-Jan-16,24-Jan-19,0,209.4300 square kilometer,TN2279,,"Western Region, Ibanda, Kamwenge",ce7d0d1f-512f-4bb5-84d1-0312d680d46a,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2207,JAI AMBE MINING AND MINERAL COMPANY LTD (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,06-May-15,,,,34.3250 square kilometer,TN2207,,"Western Region, Ibanda",34b14519-96de-4a37-abca-9ce78f96ff62,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2208,JAI AMBE MINING AND MINERAL COMPANY LTD (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,06-May-15,,,,26.9000 square kilometer,TN2208,,"Western Region, Mitooma",e86763f8-2c4d-4017-a810-20e6d13cb8ca,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1540,JAI AMBE MINING AND MINERAL COMPANY LTD (100%),Uganda,Exploration licence,"Base Metals, Gold",Active,20-Apr-15,12-Mar-15,12-Feb-18,0,34.3250 square kilometer,TN2170,"Date reviewed: 11/01/2017
User reviewed: Morris 
Status: up-to-date
Comments: quarterly reports for review","Western Region, Ibanda",5ae37862-79b7-4298-ae4a-3b736f0e164c,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
